2023-05-03 15:15:05,738 INFO [EmbeddedJettyServer] alpine-executable-war v2.2.1 (6173d3cb-4046-4864-940a-4bfe16cdd291) built on: 2023-04-12T21:19:03Z
2023-05-03 15:15:07,149 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 15:15:07,150 INFO [Config] OS Name:      Linux
2023-05-03 15:15:07,151 INFO [Config] OS Version:   5.10.104-linuxkit
2023-05-03 15:15:07,151 INFO [Config] OS Arch:      amd64
2023-05-03 15:15:07,151 INFO [Config] CPU Cores:    4
2023-05-03 15:15:07,154 INFO [Config] Max Memory:   3.7 GB (4,024,958,976.0 bytes)
2023-05-03 15:15:07,154 INFO [Config] Java Vendor:  Eclipse Adoptium
2023-05-03 15:15:07,155 INFO [Config] Java Version: 17.0.6+10
2023-05-03 15:15:07,155 INFO [Config] Java Home:    /opt/java/openjdk
2023-05-03 15:15:07,155 INFO [Config] Java Temp:    /tmp
2023-05-03 15:15:07,156 INFO [Config] User:         dtrack
2023-05-03 15:15:07,156 INFO [Config] User Home:    /data/
2023-05-03 15:15:07,156 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 15:15:07,156 INFO [Config] Initializing Configuration
2023-05-03 15:15:07,157 INFO [Config] System property alpine.application.properties not specified
2023-05-03 15:15:07,158 INFO [Config] Loading application.properties from classpath
2023-05-03 15:15:07,162 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 15:15:07,163 INFO [Config] Application:  Dependency-Track
2023-05-03 15:15:07,163 INFO [Config] Version:      4.8.0
2023-05-03 15:15:07,163 INFO [Config] Built-on:     2023-04-18T19:34:56Z
2023-05-03 15:15:07,163 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 15:15:07,163 INFO [Config] Framework:    Alpine
2023-05-03 15:15:07,164 INFO [Config] Version :     2.2.1
2023-05-03 15:15:07,164 INFO [Config] Built-on:     2023-04-12T21:19:03Z
2023-05-03 15:15:07,164 INFO [Config] --------------------------------------------------------------------------------
2023-05-03 15:15:07,244 INFO [RequirementsVerifier] Initializing requirements verifier
2023-05-03 15:15:07,244 INFO [UpgradeInitializer] Initializing upgrade framework
2023-05-03 15:15:09,012 INFO [PersistenceManagerFactory] Initializing persistence framework
2023-05-03 15:15:09,012 INFO [PersistenceManagerFactory] Creating transactional connection pool
2023-05-03 15:15:09,123 INFO [PersistenceManagerFactory] Creating non-transactional connection pool
2023-05-03 15:15:09,320 INFO [HealthCheckInitializer] Registering health checks
2023-05-03 15:15:09,321 INFO [DefaultObjectGenerator] Initializing default object generator
2023-05-03 15:15:09,323 INFO [DefaultObjectGenerator] Synchronizing permissions to datastore
2023-05-03 15:15:09,534 INFO [DefaultObjectGenerator] Adding default users and teams to datastore
2023-05-03 15:15:10,823 INFO [DefaultObjectGenerator] Synchronizing SPDX license definitions to datastore
2023-05-03 15:15:13,017 INFO [DefaultObjectGenerator] Adding default license group definitions to datastore
2023-05-03 15:15:13,295 INFO [DefaultObjectGenerator] Synchronizing default repositories to datastore
2023-05-03 15:15:13,337 INFO [DefaultObjectGenerator] Synchronizing config properties to datastore
2023-05-03 15:15:13,428 INFO [DefaultObjectGenerator] Synchronizing notification publishers to datastore
2023-05-03 15:15:13,561 INFO [CweImporter] Synchronizing CWEs with datastore
2023-05-03 15:15:16,479 INFO [CweImporter] CWE synchronization complete
2023-05-03 15:15:16,482 INFO [EventSubsystemInitializer] Initializing asynchronous event subsystem
2023-05-03 15:15:16,511 INFO [NotificationSubsystemInitializer] Initializing notification service
2023-05-03 15:15:16,512 INFO [IndexSubsystemInitializer] Building lucene indexes if required
2023-05-03 15:15:16,526 INFO [IndexManager] Checking the health of index PROJECT
2023-05-03 15:15:16,527 WARN [IndexManager] The index PROJECT does not exist
2023-05-03 15:15:16,528 INFO [IndexManager] (Re)Building index project
2023-05-03 15:15:16,555 INFO [ProjectIndexer] Starting reindex task. This may take some time.
2023-05-03 15:15:16,556 INFO [IndexManager] Deleting project index
2023-05-03 15:15:16,559 INFO [IndexManager] Checking the health of index COMPONENT
2023-05-03 15:15:16,559 WARN [IndexManager] The index COMPONENT does not exist
2023-05-03 15:15:16,559 INFO [IndexManager] (Re)Building index component
2023-05-03 15:15:16,560 INFO [IndexManager] Checking the health of index SERVICECOMPONENT
2023-05-03 15:15:16,560 WARN [IndexManager] The index SERVICECOMPONENT does not exist
2023-05-03 15:15:16,560 INFO [IndexManager] (Re)Building index servicecomponent
2023-05-03 15:15:16,561 INFO [IndexManager] Checking the health of index VULNERABILITY
2023-05-03 15:15:16,561 WARN [IndexManager] The index VULNERABILITY does not exist
2023-05-03 15:15:16,561 INFO [IndexManager] (Re)Building index vulnerability
2023-05-03 15:15:16,562 INFO [IndexManager] Checking the health of index LICENSE
2023-05-03 15:15:16,562 WARN [IndexManager] The index LICENSE does not exist
2023-05-03 15:15:16,562 INFO [IndexManager] (Re)Building index license
2023-05-03 15:15:16,563 INFO [IndexManager] Checking the health of index CPE
2023-05-03 15:15:16,563 WARN [IndexManager] The index CPE does not exist
2023-05-03 15:15:16,563 INFO [IndexManager] (Re)Building index cpe
2023-05-03 15:15:16,564 INFO [IndexManager] Checking the health of index VULNERABLESOFTWARE
2023-05-03 15:15:16,564 WARN [IndexManager] The index VULNERABLESOFTWARE does not exist
2023-05-03 15:15:16,564 INFO [IndexManager] (Re)Building index vulnerablesoftware
2023-05-03 15:15:16,595 INFO [AlpineServlet] Starting Dependency-Track
2023-05-03 15:15:16,723 INFO [ProjectIndexer] Reindexing complete
2023-05-03 15:15:16,727 INFO [ComponentIndexer] Starting reindex task. This may take some time.
2023-05-03 15:15:16,727 INFO [IndexManager] Deleting component index
2023-05-03 15:15:16,737 INFO [ComponentIndexer] Reindexing complete
2023-05-03 15:15:16,738 INFO [ServiceComponentIndexer] Starting reindex task. This may take some time.
2023-05-03 15:15:16,738 INFO [IndexManager] Deleting servicecomponent index
2023-05-03 15:15:16,748 INFO [ServiceComponentIndexer] Reindexing complete
2023-05-03 15:15:16,749 INFO [VulnerabilityIndexer] Starting reindex task. This may take some time.
2023-05-03 15:15:16,750 INFO [IndexManager] Deleting vulnerability index
2023-05-03 15:15:16,760 INFO [VulnerabilityIndexer] Reindexing complete
2023-05-03 15:15:16,761 INFO [LicenseIndexer] Starting reindex task. This may take some time.
2023-05-03 15:15:16,762 INFO [IndexManager] Deleting license index
2023-05-03 15:15:17,342 INFO [LicenseIndexer] Reindexing complete
2023-05-03 15:15:17,344 INFO [CpeIndexer] Starting reindex task. This may take some time.
2023-05-03 15:15:17,344 INFO [IndexManager] Deleting cpe index
2023-05-03 15:15:17,352 INFO [CpeIndexer] Reindexing complete
2023-05-03 15:15:17,354 INFO [VulnerableSoftwareIndexer] Starting reindex task. This may take some time.
2023-05-03 15:15:17,355 INFO [IndexManager] Deleting vulnerablesoftware index
2023-05-03 15:15:17,367 INFO [VulnerableSoftwareIndexer] Reindexing complete
2023-05-03 15:15:19,579 INFO [KeyManager] Generating new key pair
2023-05-03 15:15:23,221 INFO [KeyManager] Saving key pair
2023-05-03 15:15:23,255 INFO [AlpineServlet] Dependency-Track is ready
2023-05-03 15:15:23,258 INFO [NvdMirrorServlet] Initializing NVD mirror
2023-05-03 15:15:23,258 INFO [FileSystemResourceServlet] Initializing filesystem resource servlet
2023-05-03 15:15:26,512 INFO [VulnerabilityMetricsUpdateTask] Executing metrics update on vulnerability database
2023-05-03 15:15:26,514 INFO [PortfolioMetricsUpdateTask] Executing portfolio metrics update
2023-05-03 15:15:26,523 INFO [ClearComponentAnalysisCacheTask] Clearing ComponentAnalysisCache
2023-05-03 15:15:26,526 INFO [OsvDownloadTask] Google OSV mirroring is disabled. No ecosystem selected.
2023-05-03 15:15:26,530 INFO [ClearComponentAnalysisCacheTask] Complete
2023-05-03 15:15:26,536 INFO [PortfolioMetricsUpdateTask] Completed portfolio metrics update in 00:00:021
2023-05-03 15:15:26,557 INFO [VulnerabilityMetricsUpdateTask] Completed metrics update on vulnerability database in 00:00:043
2023-05-03 15:16:16,545 INFO [NistMirrorTask] Starting NIST mirroring task
2023-05-03 15:16:16,548 INFO [NistMirrorTask] Mirrored data directory created successfully
2023-05-03 15:16:16,551 INFO [VulnDbSyncTask] Starting VulnDB mirror synchronization task
2023-05-03 15:16:16,553 INFO [VulnDbSyncTask] VulnDB mirror directory does not exist. Skipping.
2023-05-03 15:16:16,605 INFO [NistMirrorTask] Downloading files at Wed May 03 15:16:16 UTC 2023
2023-05-03 15:16:16,610 INFO [NistMirrorTask] Initiating download of https://nvd.nist.gov/feeds/json/cve/1.1/nvdcve-1.1-modified.json.gz
2023-05-03 15:16:18,015 INFO [NistMirrorTask] Downloading...
